Year,MSA,"City, State",City,State,CoC Number,CoC Name,Overall Homeless,Population,Rate of Homelessness
2021,"Birmingham-Hoover, AL MSA","Birmingham, AL",Birmingham,AL,AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",875,1117042,0.07833188
2021,"Phoenix-Mesa-Chandler, AZ MSA","Phoenix, AZ",Phoenix,AZ,AZ-502,"Phoenix, Mesa/Maricopa County CoC",3650,4942837,0.073844232
2021,"San Jose-Sunnyvale-Santa Clara, CA MSA","San Jose, CA",San Jose,CA,CA-500,San Jose/Santa Clara City & County CoC,2301,1953270,0.117802454
2021,"San Francisco-Oakland-Berkeley, CA MSA","San Francisco, CA",San Francisco,CA,CA-501,San Francisco CoC,4000,4616610,0.086643663
2021,"San Francisco-Oakland-Berkeley, CA MSA","San Francisco, CA",San Francisco,CA,CA-502,"Oakland, Berkeley/Alameda County CoC",2546,4616610,0.055148691
2021,"Sacramento-Roseville-Folsom, CA MSA","Sacramento, CA",Sacramento,CA,CA-503,Sacramento City & County CoC,1885,2407524,0.078296208
2021,"San Francisco-Oakland-Berkeley, CA MSA","San Francisco, CA",San Francisco,CA,CA-507,Marin County CoC,225,4616610,0.004873706
2021,"Fresno, CA MSA","Fresno, CA",Fresno,CA,CA-514,Fresno City & County/Madera County CoC,999,1012992,0.098618745
2021,"San Francisco-Oakland-Berkeley, CA MSA","San Francisco, CA",San Francisco,CA,CA-517,Napa City & County CoC,200,4616610,0.004332183
2021,"Los Angeles-Long Beach-Anaheim, CA MSA","Los Angeles, CA",Los Angeles,CA,CA-600,Los Angeles City & County CoC,17225,12972847,0.132777331
2021,"San Diego-Chula Vista-Carlsbad, CA MSA","San Diego, CA",San Diego,CA,CA-601,San Diego City and County CoC,4143,3274954,0.126505594
2021,"Los Angeles-Long Beach-Anaheim, CA MSA","Los Angeles, CA",Los Angeles,CA,CA-602,"Santa Ana, Anaheim/Orange County CoC",2441,12972847,0.018816224
2021,"Los Angeles-Long Beach-Anaheim, CA MSA","Los Angeles, CA",Los Angeles,CA,CA-606,Long Beach CoC,603,12972847,0.00464817
2021,"Los Angeles-Long Beach-Anaheim, CA MSA","Los Angeles, CA",Los Angeles,CA,CA-607,Pasadena CoC,171,12972847,0.001318138
2021,"Riverside-San Bernardino-Ontario, CA MSA","Riverside, CA",Riverside,CA,CA-608,Riverside City & County CoC,998,4646060,0.021480566
2021,"Riverside-San Bernardino-Ontario, CA MSA","Riverside, CA",Riverside,CA,CA-609,San Bernardino City & County CoC,905,4646060,0.01947887
2021,"Los Angeles-Long Beach-Anaheim, CA MSA","Los Angeles, CA",Los Angeles,CA,CA-611,"Oxnard, San Buenaventura/Ventura County CoC",949,12972847,0.007315279
2021,"Los Angeles-Long Beach-Anaheim, CA MSA","Los Angeles, CA",Los Angeles,CA,CA-612,Glendale CoC,88,12972847,0.00067834
2021,"Los Angeles-Long Beach-Anaheim, CA MSA","Los Angeles, CA",Los Angeles,CA,CA-613,Imperial County CoC,140,12972847,0.001079177
2021,"Denver-Aurora-Lakewood, CO MSA","Denver, CO",Denver,CO,CO-503,Metropolitan Denver CoC,5530,2977833,0.185705511
2021,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","Washington, DC",Washington,DC,DC-500,District of Columbia CoC,5111,6364907,0.080299681
2021,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Philadelphia, PA",Philadelphia,PA,DE-500,Delaware Statewide CoC,1579,6253320,0.025250587
2021,"Tampa-St Petersburg-Clearwater, FL MSA","Tampa, FL",Tampa,FL,FL-501,Tampa/Hillsborough County CoC,870,3229077,0.026942684
2021,"Tampa-St Petersburg-Clearwater, FL MSA","Tampa, FL",Tampa,FL,FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",2307,3229077,0.071444564
2021,"Orlando-Kissimmee-Sanford, FL MSA","Orlanda, FL",Orlanda,FL,FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",1544,2699199,0.057202155
2021,"Jacksonville, FL MSA","Jacksonville, FL",Jacksonville,FL,FL-510,"Jacksonville-Duval, Clay Counties CoC",1222,1641026,0.074465609
2021,"Miami-Fort Lauderdale-Pompano Beach, FL MSA","Miami, FL",Miami,FL,FL-600,Miami-Dade County CoC,3224,6109373,0.052771373
2021,"Miami-Fort Lauderdale-Pompano Beach, FL MSA","Miami, FL",Miami,FL,FL-601,Ft Lauderdale/Broward County CoC,2561,6109373,0.041919195
2021,"Miami-Fort Lauderdale-Pompano Beach, FL MSA","Miami, FL",Miami,FL,FL-605,West Palm Beach/Palm Beach County CoC,458,6109373,0.007496678
2021,"Atlanta-Sandy Springs-Alpharetta, GA MSA","Atlanta, GA",Atlanta,GA,GA-500,Atlanta CoC,1996,6143138,0.032491538
2021,"Atlanta-Sandy Springs-Alpharetta, GA MSA","Atlanta, GA",Atlanta,GA,GA-502,Fulton County CoC,81,6143138,0.001318544
2021,"Atlanta-Sandy Springs-Alpharetta, GA MSA","Atlanta, GA",Atlanta,GA,GA-508,DeKalb County CoC,200,6143138,0.003255665
2021,"Chicago-Naperville-Elgin, IL-IN-WI MSA","Chicago, IL",Chicago,IL,IL-502,"Waukegan, North Chicago/Lake County CoC",372,9519538,0.003907753
2021,"Chicago-Naperville-Elgin, IL-IN-WI MSA","Chicago, IL",Chicago,IL,IL-510,Chicago CoC,3725,9519538,0.03913005
2021,"Chicago-Naperville-Elgin, IL-IN-WI MSA","Chicago, IL",Chicago,IL,IL-511,Cook County CoC,1044,9519538,0.010966919
