MSA,Year,HPI (Not Seasonally Adjusted)
"Abilene, TX",1986,103.12
"Abilene, TX",1987,97.3725
"Abilene, TX",1988,84.2
"Abilene, TX",1989,82.2525
"Abilene, TX",1990,80.4175
"Abilene, TX",1991,85.5
"Abilene, TX",1992,91.7975
"Abilene, TX",1993,96.7125
"Abilene, TX",1994,98.14
"Abilene, TX",1995,100.8225
"Abilene, TX",1996,105.25
"Abilene, TX",1997,106.8775
"Abilene, TX",1998,109.715
"Abilene, TX",1999,113.7775
"Abilene, TX",2000,115.045
"Abilene, TX",2001,119.95
"Abilene, TX",2002,123.255
"Abilene, TX",2003,126.5625
"Abilene, TX",2004,132.215
"Abilene, TX",2005,141.255
"Abilene, TX",2006,153.33
"Abilene, TX",2007,162.56
"Abilene, TX",2008,165.68
"Abilene, TX",2009,169.375
"Abilene, TX",2010,169.455
"Abilene, TX",2011,167.515
"Abilene, TX",2012,170.375
"Abilene, TX",2013,175.9125
"Abilene, TX",2014,185.91
"Abilene, TX",2015,190.7725
"Abilene, TX",2016,199.355
"Abilene, TX",2017,206.8825
"Abilene, TX",2018,217.985
"Abilene, TX",2019,225.2925
"Abilene, TX",2020,235.4575
"Abilene, TX",2021,266.0625
"Abilene, TX",2022,302.1775
"Abilene, TX",2023,318.86
"Akron, OH",1976,39.655
"Akron, OH",1977,42.925
"Akron, OH",1978,49.9025
"Akron, OH",1979,55.46
"Akron, OH",1980,56.485
"Akron, OH",1981,56.15
"Akron, OH",1982,52.2175
"Akron, OH",1983,57.29
"Akron, OH",1984,57.2075
"Akron, OH",1985,59.235
"Akron, OH",1986,62.62
"Akron, OH",1987,66.8875
"Akron, OH",1988,70.8275
"Akron, OH",1989,74.8175
"Akron, OH",1990,79.7525
"Akron, OH",1991,83.455
"Akron, OH",1992,88.3225
"Akron, OH",1993,92.9975
"Akron, OH",1994,97.3475
"Akron, OH",1995,102.36
"Akron, OH",1996,108.13
"Akron, OH",1997,113.08
"Akron, OH",1998,119.19
"Akron, OH",1999,123.3925
"Akron, OH",2000,126.83
"Akron, OH",2001,134.0675
"Akron, OH",2002,138.1125
"Akron, OH",2003,142.1475
"Akron, OH",2004,145.9375
"Akron, OH",2005,150.7875
"Akron, OH",2006,150.7475
"Akron, OH",2007,148.11
"Akron, OH",2008,143.6825
"Akron, OH",2009,139.95
"Akron, OH",2010,135.7775
"Akron, OH",2011,130.3875
"Akron, OH",2012,127.1975
"Akron, OH",2013,128.845
"Akron, OH",2014,132.2225
"Akron, OH",2015,137.2025
"Akron, OH",2016,141.1775
"Akron, OH",2017,146.805
"Akron, OH",2018,154.0275
"Akron, OH",2019,161.5375
"Akron, OH",2020,170.755
"Akron, OH",2021,191.16
"Akron, OH",2022,218.7975
"Akron, OH",2023,226.095
Alabama,1975,73.44
Alabama,1976,76.9975
Alabama,1977,85.6075
Alabama,1978,92.515
Alabama,1979,102.3175
Alabama,1980,105.445
Alabama,1981,108.3675
Alabama,1982,109.82
Alabama,1983,114.915
Alabama,1984,122.4275
Alabama,1985,125.375
Alabama,1986,132.6525
Alabama,1987,138.785
Alabama,1988,142.2575
Alabama,1989,144.2375
Alabama,1990,146.7125
Alabama,1991,151.395
Alabama,1992,157.4075
Alabama,1993,164.1325
Alabama,1994,170.11
Alabama,1995,176.955
Alabama,1996,184.115
Alabama,1997,191.025
Alabama,1998,200.745
Alabama,1999,205.9375
Alabama,2000,211.105
Alabama,2001,222.75
Alabama,2002,229.28
Alabama,2003,238.405
Alabama,2004,247.48
Alabama,2005,264.915
Alabama,2006,285.9025
Alabama,2007,299.39
Alabama,2008,302.7575
Alabama,2009,298.39
Alabama,2010,287.1775
Alabama,2011,277.54
Alabama,2012,276.025
Alabama,2013,274.02
Alabama,2014,277.2175
Alabama,2015,284.825
Alabama,2016,293.0725
Alabama,2017,301.8775
Alabama,2018,314.23
Alabama,2019,329.925
Alabama,2020,349.0475
Alabama,2021,394.535
Alabama,2022,461.19
Alabama,2023,485.09
Alaska,1975,67.7575
Alaska,1976,73.115
Alaska,1977,80.785
Alaska,1978,85.5575
Alaska,1979,95.095
Alaska,1980,87.7625
Alaska,1981,110.7025
Alaska,1982,136.0275
Alaska,1983,142.5925
Alaska,1984,150.86
Alaska,1985,144.1075
Alaska,1986,141.055
Alaska,1987,119.545
Alaska,1988,123.3725
Alaska,1989,109.545
Alaska,1990,113.085
Alaska,1991,128.2925
Alaska,1992,134.3075
Alaska,1993,137
Alaska,1994,143.2025
Alaska,1995,149.2225
Alaska,1996,156.02
Alaska,1997,160.3125
Alaska,1998,165.3375
Alaska,1999,171.0775
Alaska,2000,174.0275
Alaska,2001,182.7375
Alaska,2002,192.6025
Alaska,2003,202.12
Alaska,2004,222.4025
Alaska,2005,249.685
Alaska,2006,274.42
