MSA,Year,Unemployment Rate
"Dallas-Fort Worth-Arlington, TX (MSA)",1990,5.2
"Seattle-Tacoma-Bellevue, WA (MSA)",1990,4.0
"Austin-Round Rock, TX (MSA)",1990,4.9
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",1990,6.4
"St. Louis, MO-IL (MSA)",1990,6.0
"Tampa-St. Petersburg-Clearwater, FL (MSA)",1990,5.1
"Las Vegas-Henderson-Paradise, NV (MSA)",1990,4.5
"Detroit-Warren-Dearborn, MI (MSA)",1990,7.9
"Denver-Aurora-Lakewood, CO (MSA)",1990,4.5
"Jacksonville, FL (MSA)",1990,5.4
"Atlanta-Sandy Springs-Roswell, GA (MSA)",1990,4.9
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",1990,4.0
"Phoenix-Mesa-Scottsdale, AZ (MSA)",1990,4.4
"New York-Newark-Jersey City, NY-NJ-PA (MSA)",1990,5.4
"Kansas City, MO-KS (MSA)",1990,4.9
"Cincinnati, OH-KY-IN (MSA)",1990,4.5
"Miami-Fort Lauderdale-West Palm Beach, FL (MSA)",1990,7.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)",1990,3.1
"Portland-Vancouver-Hillsboro, OR-WA (MSA)",1990,4.3
"Los Angeles-Long Beach-Anaheim, CA (MSA)",1990,5.4
"Pittsburgh, PA (MSA)",1990,5.2
"Charlotte-Concord-Gastonia, NC-SC (MSA)",1990,3.5
"Memphis, TN-MS-AR (MSA)",1990,5.0
"San Francisco-Oakland-Hayward, CA (MSA)",1990,3.6
"Orlando-Kissimmee-Sanford, FL (MSA)",1990,5.8
"Cleveland-Elyria, OH (MSA)",1990,5.3
"Indianapolis-Carmel-Anderson, IN (MSA)",1990,3.6
"Raleigh, NC (MSA)",1990,2.9
"San Jose-Sunnyvale-Santa Clara, CA (MSA)",1990,4.1
"Reno, NV (MSA)",1990,4.8
"Birmingham-Hoover, AL (MSA)",1990,5.4
"San Antonio-New Braunfels, TX (MSA)",1990,6.9
"Richmond, VA (MSA)",1990,4.0
"Albuquerque, NM (MSA)",1990,5.6
"Grand Rapids-Wyoming, MI (MSA)",1990,6.1
"Omaha-Council Bluffs, NE-IA (MSA)",1990,2.8
"Baltimore-Columbia-Towson, MD (MSA)",1990,4.8
"Rochester, NY (MSA)",1990,3.8
"San Diego-Carlsbad, CA (MSA)",1990,4.6
"Flint, MI (MSA)",1990,9.5
"Lexington-Fayette, KY (MSA)",1990,4.1
"Tucson, AZ (MSA)",1990,4.5
"Oklahoma City, OK (MSA)",1990,5.1
"Boise City, ID (MSA)",1990,4.6
"Ames, IA (MSA)",1990,3.8
"Madison, WI (MSA)",1990,2.5
"New Orleans-Metairie, LA (MSA)",1990,6.4
"Columbus, OH (MSA)",1990,4.1
"Bismarck, ND (MSA)",1990,4.5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",1990,5.0
"Buffalo-Cheektowaga-Niagara Falls, NY (MSA)",1990,5.3
"Visalia-Porterville, CA (MSA)",1990,12.3
"Salt Lake City, UT (MSA)",1990,3.8
"Davenport-Moline-Rock Island, IA-IL (MSA)",1990,4.9
"Dallas-Fort Worth-Arlington, TX (MSA)",1991,6.4
"Seattle-Tacoma-Bellevue, WA (MSA)",1991,4.8
"Austin-Round Rock, TX (MSA)",1991,4.5
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",1991,7.4
"St. Louis, MO-IL (MSA)",1991,6.8
"Tampa-St. Petersburg-Clearwater, FL (MSA)",1991,6.8
"Las Vegas-Henderson-Paradise, NV (MSA)",1991,6.1
"Detroit-Warren-Dearborn, MI (MSA)",1991,9.8
"Denver-Aurora-Lakewood, CO (MSA)",1991,4.6
"Jacksonville, FL (MSA)",1991,6.6
"Atlanta-Sandy Springs-Roswell, GA (MSA)",1991,5.0
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",1991,4.6
"Phoenix-Mesa-Scottsdale, AZ (MSA)",1991,5.1
"New York-Newark-Jersey City, NY-NJ-PA (MSA)",1991,7.3
"Kansas City, MO-KS (MSA)",1991,5.6
"Cincinnati, OH-KY-IN (MSA)",1991,5.3
"Miami-Fort Lauderdale-West Palm Beach, FL (MSA)",1991,8.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)",1991,4.5
"Portland-Vancouver-Hillsboro, OR-WA (MSA)",1991,5.2
"Los Angeles-Long Beach-Anaheim, CA (MSA)",1991,7.4
"Pittsburgh, PA (MSA)",1991,6.2
"Charlotte-Concord-Gastonia, NC-SC (MSA)",1991,5.6
"Memphis, TN-MS-AR (MSA)",1991,6.1
"San Francisco-Oakland-Hayward, CA (MSA)",1991,5.1
"Orlando-Kissimmee-Sanford, FL (MSA)",1991,7.2
"Cleveland-Elyria, OH (MSA)",1991,6.3
"Indianapolis-Carmel-Anderson, IN (MSA)",1991,4.3
"Raleigh, NC (MSA)",1991,3.8
"San Jose-Sunnyvale-Santa Clara, CA (MSA)",1991,6.0
"Reno, NV (MSA)",1991,5.3
"Birmingham-Hoover, AL (MSA)",1991,6.0
"San Antonio-New Braunfels, TX (MSA)",1991,6.6
"Richmond, VA (MSA)",1991,5.6
"Albuquerque, NM (MSA)",1991,5.9
"Grand Rapids-Wyoming, MI (MSA)",1991,7.4
"Omaha-Council Bluffs, NE-IA (MSA)",1991,3.2
"Baltimore-Columbia-Towson, MD (MSA)",1991,6.7
"Rochester, NY (MSA)",1991,5.0
"San Diego-Carlsbad, CA (MSA)",1991,6.4
"Flint, MI (MSA)",1991,12.0
"Lexington-Fayette, KY (MSA)",1991,4.1
"Tucson, AZ (MSA)",1991,4.3
"Oklahoma City, OK (MSA)",1991,5.0
"Boise City, ID (MSA)",1991,5.2
"Ames, IA (MSA)",1991,3.9
"Madison, WI (MSA)",1991,3.0
"New Orleans-Metairie, LA (MSA)",1991,7.4
"Columbus, OH (MSA)",1991,4.5
"Bismarck, ND (MSA)",1991,4.8
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",1991,7.0
"Buffalo-Cheektowaga-Niagara Falls, NY (MSA)",1991,7.1
"Visalia-Porterville, CA (MSA)",1991,18.3
"Salt Lake City, UT (MSA)",1991,4.4
"Davenport-Moline-Rock Island, IA-IL (MSA)",1991,5.9
"Dallas-Fort Worth-Arlington, TX (MSA)",1992,7.0
"Seattle-Tacoma-Bellevue, WA (MSA)",1992,5.9
"Austin-Round Rock, TX (MSA)",1992,4.2
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",1992,8.0
"St. Louis, MO-IL (MSA)",1992,6.4
"Tampa-St. Petersburg-Clearwater, FL (MSA)",1992,7.5
"Las Vegas-Henderson-Paradise, NV (MSA)",1992,6.8
"Detroit-Warren-Dearborn, MI (MSA)",1992,9.5
"Denver-Aurora-Lakewood, CO (MSA)",1992,5.4
"Jacksonville, FL (MSA)",1992,7.1
"Atlanta-Sandy Springs-Roswell, GA (MSA)",1992,6.2
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",1992,4.5
"Phoenix-Mesa-Scottsdale, AZ (MSA)",1992,6.6
"New York-Newark-Jersey City, NY-NJ-PA (MSA)",1992,9.1
"Kansas City, MO-KS (MSA)",1992,5.2
"Cincinnati, OH-KY-IN (MSA)",1992,6.2
"Miami-Fort Lauderdale-West Palm Beach, FL (MSA)",1992,9.3
"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)",1992,5.1
"Portland-Vancouver-Hillsboro, OR-WA (MSA)",1992,6.6
"Los Angeles-Long Beach-Anaheim, CA (MSA)",1992,9.1
"Pittsburgh, PA (MSA)",1992,6.9
"Charlotte-Concord-Gastonia, NC-SC (MSA)",1992,6.1
"Memphis, TN-MS-AR (MSA)",1992,6.3
"San Francisco-Oakland-Hayward, CA (MSA)",1992,6.3
"Orlando-Kissimmee-Sanford, FL (MSA)",1992,7.9
"Cleveland-Elyria, OH (MSA)",1992,7.4
"Indianapolis-Carmel-Anderson, IN (MSA)",1992,4.8
"Raleigh, NC (MSA)",1992,4.1
"San Jose-Sunnyvale-Santa Clara, CA (MSA)",1992,7.2
"Reno, NV (MSA)",1992,6.4
"Birmingham-Hoover, AL (MSA)",1992,6.5
"San Antonio-New Braunfels, TX (MSA)",1992,6.2
"Richmond, VA (MSA)",1992,6.5
"Albuquerque, NM (MSA)",1992,5.3
"Grand Rapids-Wyoming, MI (MSA)",1992,7.4
"Omaha-Council Bluffs, NE-IA (MSA)",1992,3.4
"Baltimore-Columbia-Towson, MD (MSA)",1992,7.3
"Rochester, NY (MSA)",1992,5.6
"San Diego-Carlsbad, CA (MSA)",1992,7.3
"Flint, MI (MSA)",1992,12.0
"Lexington-Fayette, KY (MSA)",1992,3.9
"Tucson, AZ (MSA)",1992,5.5
"Oklahoma City, OK (MSA)",1992,5.1
"Boise City, ID (MSA)",1992,5.1
"Ames, IA (MSA)",1992,3.6
"Madison, WI (MSA)",1992,2.7
"New Orleans-Metairie, LA (MSA)",1992,9.0
"Columbus, OH (MSA)",1992,5.4
"Bismarck, ND (MSA)",1992,4.9
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",1992,7.6
"Buffalo-Cheektowaga-Niagara Falls, NY (MSA)",1992,7.6
"Visalia-Porterville, CA (MSA)",1992,17.6
"Salt Lake City, UT (MSA)",1992,4.5
"Davenport-Moline-Rock Island, IA-IL (MSA)",1992,6.5
"Dallas-Fort Worth-Arlington, TX (MSA)",1993,6.2
"Seattle-Tacoma-Bellevue, WA (MSA)",1993,6.0
"Austin-Round Rock, TX (MSA)",1993,3.6
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",1993,7.7
"St. Louis, MO-IL (MSA)",1993,6.0
"Tampa-St. Petersburg-Clearwater, FL (MSA)",1993,6.7
"Las Vegas-Henderson-Paradise, NV (MSA)",1993,6.9
"Detroit-Warren-Dearborn, MI (MSA)",1993,7.3
