"","City","State","Income","MoE","Year"
"2","Birmingham city"," Alabama",30212,1684,2010
"3","Dothan city"," Alabama",39806,2577,2010
"4","Hoover city"," Alabama",69359,7066,2010
"5","Huntsville city"," Alabama",44419,4013,2010
"6","Mobile city"," Alabama",37438,2401,2010
"7","Montgomery city"," Alabama",41380,1750,2010
"8","Tuscaloosa city"," Alabama",35838,4414,2010
"9","Anchorage municipality"," Alaska",72128,3531,2010
"10","Avondale city"," Arizona",61369,3206,2010
"11","Chandler city"," Arizona",67648,3751,2010
"12","Flagstaff city"," Arizona",45042,4505,2010
"13","Gilbert town"," Arizona",77866,4601,2010
"14","Glendale city"," Arizona",45699,3582,2010
"15","Goodyear city"," Arizona",71030,4109,2010
"16","Mesa city"," Arizona",44747,1772,2010
"17","Peoria city"," Arizona",53848,2321,2010
"18","Phoenix city"," Arizona",42260,1090,2010
"19","San Tan Valley CDP"," Arizona",59434,6942,2010
"20","Scottsdale city"," Arizona",68824,5183,2010
"21","Surprise city"," Arizona",57114,4881,2010
"22","Tempe city"," Arizona",45151,3938,2010
"23","Tucson city"," Arizona",36428,1560,2010
"24","Yuma city"," Arizona",45789,7838,2010
"25","Fayetteville city"," Arkansas",32908,3103,2010
"26","Fort Smith city"," Arkansas",37856,2569,2010
"27","Jonesboro city"," Arkansas",34329,3065,2010
"28","Little Rock city"," Arkansas",44415,3162,2010
"29","Springdale city"," Arkansas",40256,4323,2010
"30","Alameda city"," California",68731,7783,2010
"31","Alhambra city"," California",49435,7560,2010
"32","Anaheim city"," California",54157,3485,2010
"33","Antioch city"," California",62088,7207,2010
"34","Apple Valley town"," California",46250,3772,2010
"35","Arden-Arcade CDP"," California",41476,4149,2010
"36","Bakersfield city"," California",53038,2597,2010
"37","Baldwin Park city"," California",43546,6927,2010
"38","Bellflower city"," California",47024,5725,2010
"39","Berkeley city"," California",56623,6288,2010
"40","Buena Park city"," California",61262,9280,2010
"41","Burbank city"," California",61520,5707,2010
"42","Camarillo city"," California",72193,6794,2010
"43","Carlsbad city"," California",77097,10207,2010
"44","Carson city"," California",67192,7014,2010
"45","Chico city"," California",44062,3501,2010
"46","Chino city"," California",70942,7683,2010
"47","Chino Hills city"," California",100099,7579,2010
"48","Chula Vista city"," California",66246,4597,2010
"49","Citrus Heights city"," California",50280,3792,2010
"50","Clovis city"," California",65471,4869,2010
"51","Compton city"," California",43728,4638,2010
"52","Concord city"," California",65695,7706,2010
"53","Corona city"," California",74015,3877,2010
"54","Costa Mesa city"," California",63570,3892,2010
"55","Daly City city"," California",72307,6052,2010
"56","Davis city"," California",58771,16007,2010
"57","Downey city"," California",53490,3149,2010
"58","East Los Angeles CDP"," California",38986,2498,2010
"59","El Cajon city"," California",43435,4417,2010
"60","Elk Grove city"," California",75590,4176,2010
"61","El Monte city"," California",41076,3846,2010
"62","Escondido city"," California",43102,2939,2010
"63","Fairfield city"," California",61603,3760,2010
"64","Folsom city"," California",93620,8063,2010
"65","Fontana city"," California",58579,4588,2010
"66","Fremont city"," California",87385,6832,2010
"67","Fresno city"," California",41144,1749,2010
"68","Fullerton city"," California",65360,4651,2010
"69","Garden Grove city"," California",60974,3310,2010
"70","Glendale city"," California",51923,6072,2010
"71","Hawthorne city"," California",41541,2297,2010
"72","Hayward city"," California",59890,5957,2010
"73","Hemet city"," California",31739,2813,2010
"74","Hesperia city"," California",42651,6485,2010
"75","Huntington Beach city"," California",72469,3438,2010
"76","Indio city"," California",36355,4897,2010
"77","Inglewood city"," California",40761,3285,2010
"78","Irvine city"," California",85615,5582,2010
"79","Lake Forest city"," California",91670,14009,2010
"80","Lakewood city"," California",73793,6358,2010
"81","Lancaster city"," California",50492,5170,2010
"82","Livermore city"," California",95941,9571,2010
"83","Long Beach city"," California",51426,1803,2010
"84","Los Angeles city"," California",47031,755,2010
