MSA,Year,Inflation Rate over Previous Year
"San Francisco-Oakland-Hayward, CA (CBSA)",2003,0.017867932671557844
"New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2003,0.030701754385964983
"Dallas-Fort Worth-Arlington, TX (CBSA)",2003,0.021056698541485848
"Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",2003,0.018398417736074594
"Boston-Cambridge-Newton, MA-NH (CBSA)",2003,0.03702445652173905
"Denver-Aurora-Lakewood, CO (CBSA)",2003,0.010278604273735493
Seattle-Tacoma-Bellevue WA (CBSA),2003,0.015303430079155553
"Miami-Fort Lauderdale-West Palm Beach, FL (CBSA)",2003,0.02835467045993354
"Los Angeles-Riverside-Orange County, CA (CMSA) (DISCONTINUED)",2003,0.025928297055057586
"Houston-The Woodlands-Sugar Land, TX (CBSA)",2003,0.02834135118176122
Urban Hawaii (CBSA),2003,0.023300970873786346
"Phoenix-Mesa-Scottsdale, AZ (CBSA)",2003,0.020750988142292575
"Atlanta-Sandy Springs-Roswell, GA (CBSA)",2003,0.013922631283872099
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (CBSA)",2003,0.020795822830392635
Urban Alaska (CBSA),2003,0.026856240126382307
"Detroit-Warren-Dearborn, MI (CBSA)",2003,0.018973214285714315
"Tampa-St. Petersburg-Clearwater, FL (CBSA)",2003,0.02729044834308004
"Minneapolis-St.Paul-Bloomington, MN-WI (CBSA)",2003,0.01726057906458794
"Minneapolis-ST.Paul-Bloomington, MN-WI (CBSA)",2003,0.016699137211243928
"San Diego-Carlsbad, CA (CBSA)",2003,0.03740207227697754
"Portland-Salem, OR-WA (CMSA) (DISCONTINUED)",2003,
"Washington-Baltimore, DC-MD-VA-WV (CMSA) (DISCONTINUED)",2003,0.029394387001477323
"Cincinnati-Hamilton, OH-KY-IN (CMSA) (DISCONTINUED)",2003,
"Denver-Boulder-Greeley, CO (CMSA) (DISCONTINUED)",2003,
"Cleveland-Akron, OH (CMSA) (DISCONTINUED)",2003,0.015969215969215883
"St. Louis, MO-IL (CBSA)",2003,0.025732031943212032
"Kansas City, MO-KS (CMSA) (DISCONTINUED)",2003,
"Pittsburgh, PA (CMSA) (DISCONTINUED)",2003,
"Milwaukee-Racine, WI (CMSA) (DISCONTINUED)",2003,
"San Francisco-Oakland-Hayward, CA (CBSA)",2004,0.01246607869742207
"New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2004,0.03526437750158006
"Dallas-Fort Worth-Arlington, TX (CBSA)",2004,0.013338378582915327
"Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",2004,0.022356713788898582
"Boston-Cambridge-Newton, MA-NH (CBSA)",2004,0.028660334097608955
"Denver-Aurora-Lakewood, CO (CBSA)",2004,0.001070950468540769
Seattle-Tacoma-Bellevue WA (CBSA),2004,0.012907137907137987
"Miami-Fort Lauderdale-West Palm Beach, FL (CBSA)",2004,0.028310586499446743
"Los Angeles-Riverside-Orange County, CA (CMSA) (DISCONTINUED)",2004,0.03338533541341627
"Houston-The Woodlands-Sugar Land, TX (CBSA)",2004,0.03569612529238275
Urban Hawaii (CBSA),2004,0.0330712930333425
"Phoenix-Mesa-Scottsdale, AZ (CBSA)",2004,0.018393030009680598
"Atlanta-Sandy Springs-Roswell, GA (CBSA)",2004,0.01373145332227453
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (CBSA)",2004,0.041802628097715726
Urban Alaska (CBSA),2004,0.025846153846153776
"Detroit-Warren-Dearborn, MI (CBSA)",2004,0.016429353778751366
"Tampa-St. Petersburg-Clearwater, FL (CBSA)",2004,0.02466793168880459
"Minneapolis-St.Paul-Bloomington, MN-WI (CBSA)",2004,0.02846195949644235
"Minneapolis-ST.Paul-Bloomington, MN-WI (CBSA)",2004,0.02874349849438818
"San Diego-Carlsbad, CA (CBSA)",2004,0.03702801461632167
"Portland-Salem, OR-WA (CMSA) (DISCONTINUED)",2004,
"Washington-Baltimore, DC-MD-VA-WV (CMSA) (DISCONTINUED)",2004,0.027407088534940234
"Cincinnati-Hamilton, OH-KY-IN (CMSA) (DISCONTINUED)",2004,
"Denver-Boulder-Greeley, CO (CMSA) (DISCONTINUED)",2004,
"Cleveland-Akron, OH (CMSA) (DISCONTINUED)",2004,0.03058422497869532
"St. Louis, MO-IL (CBSA)",2004,0.04008073817762393
"Kansas City, MO-KS (CMSA) (DISCONTINUED)",2004,
"Pittsburgh, PA (CMSA) (DISCONTINUED)",2004,
"Milwaukee-Racine, WI (CMSA) (DISCONTINUED)",2004,
"San Francisco-Oakland-Hayward, CA (CBSA)",2005,0.01951587235111829
"New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2005,0.03878398176786584
"Dallas-Fort Worth-Arlington, TX (CBSA)",2005,0.032300224047796776
"Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",2005,0.030261530305707926
"Boston-Cambridge-Newton, MA-NH (CBSA)",2005,0.03168285304887739
"Denver-Aurora-Lakewood, CO (CBSA)",2005,0.02112864402246584
Seattle-Tacoma-Bellevue WA (CBSA),2005,0.028649619430428656
"Miami-Fort Lauderdale-West Palm Beach, FL (CBSA)",2005,0.04761904761904774
"Los Angeles-Riverside-Orange County, CA (CMSA) (DISCONTINUED)",2005,0.04468599033816451
"Houston-The Woodlands-Sugar Land, TX (CBSA)",2005,0.03662608012568736
Urban Hawaii (CBSA),2005,0.03804775649435843
