MSA,Primary City in MSA,,Year,Studio Rental Price,1BR Rental Price,2BR Rental Price,3BR Rental Price,4BR Rental Price
"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Atlanta,GA,2022,1205,1226,1397,1730,2115
"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Atlanta,GA,2021,1101,1126,1284,1615,1976
"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Atlanta,GA,2020,1065,1096,1248,1592,1951
"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Atlanta,GA,2019,1005,1031,1180,1522,1870
"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Atlanta,GA,2018,930,957,1099,1432,1760
"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Atlanta,GA,2017,871,914,1054,1383,1702
"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Atlanta,GA,2016,813,873,1010,1334,1630
"Atlanta-Sandy Springs-Marietta, GA HUD Metro FMR Area",Atlanta,GA,2015,755,824,977,1294,1572
"Atlanta-Sandy Springs-Marietta, GA HUD Metro FMR Area",Atlanta,GA,2014,738,805,954,1263,1535
"Atlanta-Sandy Springs-Marietta, GA HUD Metro FMR Area",Atlanta,GA,2013,719,784,930,1232,1496
"Atlanta-Sandy Springs-Marietta, GA HUD Metro FMR Area",Atlanta,GA,2012,741,803,893,1087,1186
"Atlanta-Sandy Springs-Marietta, GA HUD Metro FMR Area",Atlanta,GA,2011,764,830,923,1144,1282
"Atlanta-Sandy Springs-Marietta, GA HUD Metro FMR Area",Atlanta,GA,2010,791,859,955,1183,1326
"Atlanta-Sandy Springs-Marietta, GA HUD Metro FMR Area",Atlanta,GA,2009,762,827,920,1140,1278
"Atlanta-Sandy Springs-Marietta, GA HUD Metro FMR Area",Atlanta,GA,2008,715,777,864,1070,1200
"Atlanta-Sandy Springs-Marietta, GA HUD Metro FMR Area",Atlanta,GA,2007,693,752,837,1037,1163
"Atlanta-Sandy Springs-Marietta, GA HUD Metro FMR Area",Atlanta,GA,2006,677,735,818,1014,1136
"Austin-Round Rock, TX MSA",Austin,TX,2022,1177,1333,1565,2013,2367
"Austin-Round Rock, TX MSA",Austin,TX,2021,1144,1309,1549,1997,2384
"Austin-Round Rock, TX MSA",Austin,TX,2020,1062,1220,1458,1896,2288
"Austin-Round Rock, TX MSA",Austin,TX,2019,1004,1170,1417,1869,2262
"Austin-Round Rock, TX MSA",Austin,TX,2018,928,1104,1350,1812,2178
"Austin-Round Rock, TX MSA",Austin,TX,2017,859,1041,1285,1741,2095
"Austin-Round Rock, TX MSA",Austin,TX,2016,791,965,1204,1629,1973
"Austin-Round Rock-San Marcos, TX MSA",Austin,TX,2015,723,886,1115,1509,1829
"Austin-Round Rock-San Marcos, TX MSA",Austin,TX,2014,696,853,1074,1454,1762
"Austin-Round Rock-San Marcos, TX MSA",Austin,TX,2013,681,834,1050,1421,1723
"Austin-Round Rock-San Marcos, TX MSA",Austin,TX,2012,713,812,989,1331,1516
"Austin-Round Rock-San Marcos, TX MSA",Austin,TX,2011,738,840,1026,1395,1614
